French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
